gutenberg_downloads/arnold_culture_anarchy__pg4212.txt	Culture and Anarchy	Matthew Arnold
gutenberg_downloads/augustine_city_of_god__pg45304.txt	The City of God	Augustine of Hippo
gutenberg_downloads/augustine_confessions__pg3296.txt	Confessions	Augustine of Hippo
gutenberg_downloads/bacon_novum_organum__pg45988.txt	Novum Organum	Francis Bacon
gutenberg_downloads/boethius_consolation__pg14328.txt	The Consolation of Philosophy	Boethius
gutenberg_downloads/burton_anatomy_melancholy__pg10800.txt	The Anatomy of Melancholy	Robert Burton
gutenberg_downloads/carlyle_heroes__pg1091.txt	On Heroes, Hero-Worship, and the Heroic in History	Thomas Carlyle
gutenberg_downloads/cicero_tusculan_disputations__pg14988.txt	Tusculan Disputations	Marcus Tullius Cicero
gutenberg_downloads/coleridge_biographia__pg6081.txt	Biographia Literaria	Samuel Taylor Coleridge
gutenberg_downloads/darwin_origin_of_species__pg22764.txt	On the Origin of Species	Charles Darwin
gutenberg_downloads/diogenes_laertius_lives__pg57342.txt	Lives of the Eminent Philosophers	Diogenes Laertius
gutenberg_downloads/emerson_essays__pg16643.txt	Essays	Ralph Waldo Emerson
gutenberg_downloads/emerson_representative_men__pg6312.txt	Representative Men	Ralph Waldo Emerson
gutenberg_downloads/frazer_golden_bough__pg41359.txt	The Golden Bough	James George Frazer
gutenberg_downloads/herodotus_histories_v1__pg2707.txt	The Histories	Herodotus
gutenberg_downloads/hobbes_leviathan__pg3207.txt	Leviathan	Thomas Hobbes
gutenberg_downloads/hume_treatise__pg4705.txt	A Treatise of Human Nature	David Hume
gutenberg_downloads/james_varieties__pg621.txt	The Varieties of Religious Experience	William James
gutenberg_downloads/livy_history_of_rome__pg19725.txt	The History of Rome	Livy
gutenberg_downloads/locke_essay_human_understanding__pg10615.txt	An Essay Concerning Human Understanding	John Locke
gutenberg_downloads/lucretius_de_rerum_natura__pg785.txt	On the Nature of Things	Lucretius
gutenberg_downloads/machiavelli_discourses__pg10827.txt	Discourses on Livy	Niccolò Machiavelli
gutenberg_downloads/pater_renaissance__pg2398.txt	The Renaissance	Walter Pater
gutenberg_downloads/pliny_natural_history__pg60230.txt	Natural History	Pliny the Elder
gutenberg_downloads/plutarch_lives__pg674.txt	Parallel Lives	Plutarch
gutenberg_downloads/polybius_histories__pg44125.txt	The Histories	Polybius
gutenberg_downloads/ruskin_stones_of_venice__pg30755.txt	The Stones of Venice	John Ruskin
gutenberg_downloads/schopenhauer_essays__pg10732.txt	Studies in Pessimism	Arthur Schopenhauer
gutenberg_downloads/smith_wealth_of_nations__pg3300.txt	The Wealth of Nations	Adam Smith
gutenberg_downloads/spencer_first_principles__pg55046.txt	First Principles	Herbert Spencer
gutenberg_downloads/spinoza_ethics__pg3800.txt	Ethics	Baruch Spinoza
gutenberg_downloads/spinoza_theologico_political__pg989.txt	Theologico-Political Treatise	Baruch Spinoza
gutenberg_downloads/suetonius_twelve_caesars__pg6400.txt	The Twelve Caesars	Suetonius
gutenberg_downloads/tacitus_annals__pg7959.txt	The Annals	Tacitus
gutenberg_downloads/thucydides_peloponnesian_war__pg7142.txt	History of the Peloponnesian War	Thucydides
gutenberg_downloads/tocqueville_democracy__pg815.txt	Democracy in America	Alexis de Tocqueville
gutenberg_downloads/tolstoy_what_is_art__pg64908.txt	What Is Art?	Leo Tolstoy
gutenberg_downloads/vasari_lives_artists__pg25326.txt	Lives of the Most Eminent Painters, Sculptors and Architects	Giorgio Vasari
gutenberg_downloads/voltaire_phil_dictionary__pg18569.txt	Philosophical Dictionary	Voltaire
gutenberg_downloads/wilde_intentions__pg887.txt	Intentions	Oscar Wilde
